Features: [2.79], Target: 36.06
Features: [-5.54], Target: -0.26
Features: [4.73], Target: -34.67
Features: [-8.26], Target: -87.67
Features: [-1.56], Target: 27.43
Features: [0.11], Target: 5.60
Features: [-9.47], Target: 9.76
Features: [0.90], Target: 58.63
Features: [-5.59], Target: -70.35
Features: [-9.87], Target: -50.55
Features: [6.12], Target: -6.15
Features: [-6.89], Target: -43.18
Features: [9.14], Target: -0.45
Features: [-8.07], Target: 7.79
Features: [6.95], Target: -53.63
Features: [4.59], Target: -41.62
Features: [0.72], Target: 41.11
Features: [1.04], Target: -5.85
Features: [6.59], Target: -54.84
Features: [1.55], Target: -55.07
Features: [4.09], Target: 33.06
Features: [-4.21], Target: 4.37
Features: [-8.40], Target: -6.31
Features: [-4.44], Target: 14.83
Features: [2.71], Target: -23.96
Features: [-5.81], Target: 24.51
Features: [-4.66], Target: 51.29
Features: [2.18], Target: -21.34
Features: [-6.58], Target: -9.86
Features: [-2.41], Target: -27.28
Features: [9.79], Target: -24.37
Features: [3.69], Target: -37.60
Features: [6.86], Target: 11.78
Features: [-9.36], Target: -39.25
Features: [-3.69], Target: -6.91
Features: [8.86], Target: 37.59
Features: [7.53], Target: -16.71
Features: [-2.09], Target: 54.23
Features: [8.29], Target: -23.56
Features: [-5.07], Target: 3.36
Features: [1.23], Target: -3.22
Features: [7.96], Target: 63.45
Features: [-2.01], Target: 25.88
Features: [0.19], Target: 143.07
Features: [-8.18], Target: 11.18
Features: [2.55], Target: 8.45
Features: [5.84], Target: -7.59
Features: [-2.37], Target: 4.78
Features: [9.92], Target: -100.02
Features: [7.22], Target: -13.12
Features: [-9.77], Target: -21.40
Features: [0.74], Target: -61.74
Features: [-4.66], Target: -17.59
Features: [-1.30], Target: -17.12
Features: [-0.93], Target: 81.28
Features: [-4.73], Target: -29.28
Features: [0.01], Target: 40.21
Features: [7.41], Target: 90.98
Features: [-4.03], Target: -41.01
Features: [-6.94], Target: -51.05
Features: [5.25], Target: -65.47
Features: [0.61], Target: -17.26
Features: [-9.99], Target: -13.73
Features: [8.58], Target: 16.02
Features: [7.57], Target: 25.25
Features: [-8.84], Target: -40.21
Features: [7.56], Target: 24.36
Features: [-0.28], Target: -6.10
Features: [-8.62], Target: -3.85
Features: [-7.43], Target: -78.84
Features: [-0.49], Target: -31.86
Features: [7.45], Target: -2.70
Features: [-1.54], Target: 10.89
Features: [4.60], Target: 55.39
Features: [-5.98], Target: -57.82
Features: [3.00], Target: 129.93
Features: [-1.24], Target: -22.44
Features: [-5.51], Target: -7.86
Features: [-3.24], Target: -29.06
Features: [-5.60], Target: -21.60
Features: [-8.58], Target: -29.16
Features: [8.11], Target: -14.11
Features: [7.19], Target: 35.14
Features: [3.38], Target: 16.72
Features: [-5.72], Target: 60.56
Features: [1.42], Target: 74.08
Features: [-0.55], Target: 15.91
Features: [-6.19], Target: -80.64
Features: [-8.06], Target: -48.08
Features: [-0.66], Target: 17.85
Features: [4.58], Target: -51.43
Features: [-8.03], Target: -115.22
Features: [-1.95], Target: -46.40
Features: [-5.03], Target: 65.70
Features: [-6.20], Target: -47.89
Features: [-4.43], Target: 9.52
Features: [-5.00], Target: 35.26
Features: [7.23], Target: -13.85
Features: [1.01], Target: 152.82
Features: [6.72], Target: 56.67
Features: [9.38], Target: 82.42
Features: [-6.67], Target: -43.10
Features: [-0.29], Target: 9.32
Features: [-8.83], Target: 32.60
Features: [-2.42], Target: 30.41
Features: [5.68], Target: 2.64
Features: [-0.90], Target: -94.28
Features: [9.91], Target: 58.97
Features: [1.12], Target: -3.69
Features: [-4.07], Target: -27.95
Features: [9.37], Target: -36.76
Features: [4.96], Target: -20.10
Features: [-8.86], Target: -51.73
Features: [7.05], Target: -18.00
Features: [-6.85], Target: 9.79
Features: [-6.28], Target: -10.47
Features: [1.90], Target: -12.03
Features: [-7.60], Target: -35.03
Features: [7.81], Target: 9.15
Features: [2.39], Target: 58.80
Features: [-1.62], Target: -45.80
Features: [8.69], Target: -16.94
Features: [-5.91], Target: -12.45
Features: [-2.08], Target: -32.41
Features: [3.43], Target: -7.88
Features: [5.04], Target: 39.86
Features: [-8.55], Target: -154.50
Features: [9.92], Target: 49.08
Features: [-8.53], Target: -0.97
Features: [8.67], Target: 40.76
Features: [7.62], Target: 36.90
Features: [-6.85], Target: -34.60
Features: [6.67], Target: -9.95
Features: [9.74], Target: -45.58
Features: [3.08], Target: 80.40
Features: [-4.01], Target: -0.21
Features: [3.27], Target: 24.18
Features: [-7.69], Target: -16.14
Features: [-7.86], Target: -39.50
Features: [2.10], Target: -8.90
Features: [4.35], Target: 21.47
Features: [-4.72], Target: 52.33
Features: [-0.23], Target: 67.07
Features: [-8.15], Target: -53.68
Features: [-1.53], Target: -2.12
Features: [5.42], Target: 8.91
Features: [2.74], Target: -2.44
Features: [1.03], Target: 69.90
Features: [-1.45], Target: 15.14
Features: [7.66], Target: 8.67
